r53_Name,r53_ResourceRecordsValue
gds-booking-notify-prod-rw.prod.us-west-1.aws.groupondev.com,booking-notify-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-booking-tool-prod-ro.prod.us-west-1.aws.groupondev.com,booking-tool-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-booking-tool-prod-rw.prod.us-west-1.aws.groupondev.com,booking-tool-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-brands-prod-ro.prod.us-west-1.aws.groupondev.com,brands-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-brands-prod-rw.prod.us-west-1.aws.groupondev.com,brands-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-campaign-alert-prod-ro.prod.us-west-1.aws.groupondev.com,campaign-alert-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-campaign-alert-prod-rw.prod.us-west-1.aws.groupondev.com,campaign-alert-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-campaign-perform-prod-ro.prod.us-west-1.aws.groupondev.com,campaign-perform-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-campaign-perform-prod-rw.prod.us-west-1.aws.groupondev.com,campaign-perform-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-card-purge-batch-prod-ro.prod.us-west-1.aws.groupondev.com,card-purge-batch-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-card-purge-batch-prod-rw.prod.us-west-1.aws.groupondev.com,card-purge-batch-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-cerebro-ranger-prod-ro.prod.us-west-1.aws.groupondev.com,cerebro-ranger-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-cerebro-ranger-prod-rw.prod.us-west-1.aws.groupondev.com,cerebro-ranger-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-cerebro2-hive-prod-ro.prod.us-west-1.aws.groupondev.com,cerebro2-hive-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-cerebro2-hive-prod-rw.prod.us-west-1.aws.groupondev.com,cerebro2-hive-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-cerebro2-hue-prod-ro.prod.us-west-1.aws.groupondev.com,cerebro2-hue-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-cerebro2-hue-prod-rw.prod.us-west-1.aws.groupondev.com,cerebro2-hue-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-cerebro2oozie-prod-ro.prod.us-west-1.aws.groupondev.com,cerebro2oozie-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-cerebro2oozie-prod-rw.prod.us-west-1.aws.groupondev.com,cerebro2oozie-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-checkoff-prod-ro.prod.us-west-1.aws.groupondev.com,checkoff-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-checkoff-prod-rw.prod.us-west-1.aws.groupondev.com,checkoff-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-client-id-prod-ro.prod.us-west-1.aws.groupondev.com,client-id-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-client-id-prod-rw.prod.us-west-1.aws.groupondev.com,client-id-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-clo-cis-prod-ro.prod.us-west-1.aws.groupondev.com,clo-cis-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-clo-cis-prod-rw.prod.us-west-1.aws.groupondev.com,clo-cis-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-clo-service-prod-ro.prod.us-west-1.aws.groupondev.com,clo-service-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-clo-service-prod-rw.prod.us-west-1.aws.groupondev.com,clo-service-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-cmi-travelclick-prod-ro.prod.us-west-1.aws.groupondev.com,cmi-travelclick-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-cmi-travelclick-prod-rw.prod.us-west-1.aws.groupondev.com,cmi-travelclick-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-command-center-prod-ro.prod.us-west-1.aws.groupondev.com,command-center-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-command-center-prod-rw.prod.us-west-1.aws.groupondev.com,command-center-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-confluence-prod-ro.prod.us-west-1.aws.groupondev.com,confluence-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-confluence-prod-rw.prod.us-west-1.aws.groupondev.com,confluence-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-cons-data-svc-prod-ro.prod.us-west-1.aws.groupondev.com,cons-data-svc-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-cons-data-svc-prod-rw.prod.us-west-1.aws.groupondev.com,cons-data-svc-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-contract-service-prod-ro.prod.us-west-1.aws.groupondev.com,contract-service-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-contract-service-prod-rw.prod.us-west-1.aws.groupondev.com,contract-service-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-control-center-ro.prod.us-west-1.aws.groupondev.com,pg-noncore-us-052-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-control-center-rw.prod.us-west-1.aws.groupondev.com,pg-noncore-us-052-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-coupon-prod-ro.prod.us-west-1.aws.groupondev.com,coupon-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-coupon-prod-rw.prod.us-west-1.aws.groupondev.com,coupon-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-coupons-inventory-prod-ro.prod.us-west-1.aws.groupondev.com,coupons-inventory-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-coupons-inventory-prod-rw.prod.us-west-1.aws.groupondev.com,coupons-inventory-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-coupons_prod-ro.prod.us-west-1.aws.groupondev.com,coupons-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-coupons_prod-rw.prod.us-west-1.aws.groupondev.com,coupons-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-crm-message-prod-ro.prod.us-west-1.aws.groupondev.com,crm-message-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-crm-message-prod-rw.prod.us-west-1.aws.groupondev.com,crm-message-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-cscs-prod-ro.prod.us-west-1.aws.groupondev.com,cscs-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-cscs-prod-rw.prod.us-west-1.aws.groupondev.com,cscs-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-customfieldapp-prod-ro.prod.us-west-1.aws.groupondev.com,customfieldapp-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-customfieldapp-prod-rw.prod.us-west-1.aws.groupondev.com,customfieldapp-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-cyclops-prod-ro.prod.us-west-1.aws.groupondev.com,cyclops-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-cyclops-prod-rw.prod.us-west-1.aws.groupondev.com,cyclops-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-darwin-prod-ro.prod.us-west-1.aws.groupondev.com,darwin-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-darwin-prod-rw.prod.us-west-1.aws.groupondev.com,darwin-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-deal-management-prod-ro.prod.us-west-1.aws.groupondev.com,deal-management-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-deal-management-prod-rw.prod.us-west-1.aws.groupondev.com,deal-management-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-deal-perf-v2-prod-ro.prod.us-west-1.aws.groupondev.com,deal-perf-v2-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-deal-perf-v2-prod-ro.prod.us-west-1.aws.groupondev.com,deal-perf-v2-prod-2.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-deal-perf-v2-prod-ro.prod.us-west-1.aws.groupondev.com,deal-perf-v2-prod-3.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-deal-perf-v2-prod-rw.prod.us-west-1.aws.groupondev.com,deal-perf-v2-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-deal-perf-v2-ro.prod.us-west-1.aws.groupondev.com,deal-perf-v2-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-deal-perf-v2-ro.prod.us-west-1.aws.groupondev.com,deal-perf-v2-prod-2.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-deal-perf-v2-ro.prod.us-west-1.aws.groupondev.com,deal-perf-v2-prod-3.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-dealestate-prod-ro.prod.us-west-1.aws.groupondev.com,dealestate-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-dealestate-prod-rw.prod.us-west-1.aws.groupondev.com,dealestate-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-dealservice-prod-archive-ro.prod.us-west-1.aws.groupondev.com,dealservice-prod-archive.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-dealservice-prod-archive-rw.prod.us-west-1.aws.groupondev.com,dealservice-prod-archive.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-dealservice-prod-ro.prod.us-west-1.aws.groupondev.com,dealservice-prod.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-dealservice-prod-rw.prod.us-west-1.aws.groupondev.com,dealservice-prod.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-decision-engine-prod-ro.prod.us-west-1.aws.groupondev.com,decision-engine-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-decision-engine-prod-rw.prod.us-west-1.aws.groupondev.com,decision-engine-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-dsp-airflow-clv-prod-ro.prod.us-west-1.aws.groupondev.com,dsp-airflow-clv-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-dsp-airflow-clv-prod-rw.prod.us-west-1.aws.groupondev.com,dsp-airflow-clv-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-editorial-content-prod-ro.prod.us-west-1.aws.groupondev.com,editorial-content-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-editorial-content-prod-rw.prod.us-west-1.aws.groupondev.com,editorial-content-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-editorial-ro.prod.us-west-1.aws.groupondev.com,editorial.cluster-ro-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-editorial-rw.prod.us-west-1.aws.groupondev.com,editorial.cluster-czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-edw-dwh-load-prod-ro.prod.us-west-1.aws.groupondev.com,edw-dwh-load-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-edw-dwh-load-prod-rw.prod.us-west-1.aws.groupondev.com,edw-dwh-load-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-email-campaign-prod-ro.prod.us-west-1.aws.groupondev.com,email-campaign-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-email-campaign-prod-ro.prod.us-west-1.aws.groupondev.com,email-campaign-prod-2.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-email-campaign-prod-ro.prod.us-west-1.aws.groupondev.com,email-campaign-prod-3.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-email-campaign-prod-ro.prod.us-west-1.aws.groupondev.com,email-campaign-prod-4.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-email-campaign-prod-ro.prod.us-west-1.aws.groupondev.com,email-campaign-prod-5.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-email-campaign-prod-ro.prod.us-west-1.aws.groupondev.com,email-campaign-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-email-campaign-prod-ro.prod.us-west-1.aws.groupondev.com,email-campaign-prod-2.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-email-campaign-prod-ro.prod.us-west-1.aws.groupondev.com,email-campaign-prod-3.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-email-campaign-prod-ro.prod.us-west-1.aws.groupondev.com,email-campaign-prod-4.czlsgz0xic0p.us-west-1.rds.amazonaws.com
gds-email-campaign-prod-ro.prod.us-west-1.aws.groupondev.com,email-campaign-prod-5.czlsgz0xic0p.us-west-1.rds.amazonaws.com
