DBClusterIdentifier	Endpoint	Status	EndpointType
my-noncore-us-111-prod	my-noncore-us-111-prod.cluster-ro-cjkehezkc6xn.us-west-2.rds.amazonaws.com	available	READER
vis20-emea-prod	vis20-emea-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
vis20-emea-prod	vis20-emea-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
client-id-prod-replica	client-id-prod-replica.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
client-id-prod-replica	client-id-prod-replica.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
srs-job-scheduler-emea-prod	srs-job-scheduler-emea-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
srs-job-scheduler-emea-prod	srs-job-scheduler-emea-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
my-noncore-emea-201-prod	my-noncore-emea-201-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
my-noncore-emea-201-prod	my-noncore-emea-201-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
vis-emea-copy-prod-replica	vis-emea-copy-prod-replica.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
vis-emea-copy-prod-replica	vis-emea-copy-prod-replica.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
pwa-emea-copy-prod	pwa-emea-copy-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
pwa-emea-copy-prod	pwa-emea-copy-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
vis-prod-replica	vis-prod-replica.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
vis-prod-replica	vis-prod-replica.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
pwa-prod-replica	pwa-prod-replica.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
pwa-prod-replica	pwa-prod-replica.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
pricing-prod-replica	pricing-prod-replica.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
pricing-prod-replica	pricing-prod-replica.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
artifactory-emea-prod	artifactory-emea-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
artifactory-emea-prod	artifactory-emea-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
fraud-arbiter-emea-prod	fraud-arbiter-emea-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
fraud-arbiter-emea-prod	fraud-arbiter-emea-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
my-core-emea-301-prod	my-core-emea-301-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
my-core-emea-301-prod	my-core-emea-301-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
custsvc-intl-app-prod	custsvc-intl-app-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
custsvc-intl-app-prod	custsvc-intl-app-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
affiliate-track-prod	affiliate-track-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
affiliate-track-prod	affiliate-track-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
cons-data-svc-prod	cons-data-svc-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
cons-data-svc-prod	cons-data-svc-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
crm-msg-service-prod	crm-msg-service-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
crm-msg-service-prod	crm-msg-service-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
ranger-prod	ranger-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
ranger-prod	ranger-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
giftcard-prod	giftcard-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
goods-job-sched-prod	goods-job-sched-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
goods-job-sched-prod	goods-job-sched-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
ol-book-appnt-prod	ol-book-appnt-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
ol-book-appnt-prod	ol-book-appnt-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
giftcard-prod	giftcard-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
ol-book-avail-prod	ol-book-avail-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
ol-book-avail-prod	ol-book-avail-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
affiliates-prog-prod	affiliates-prog-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
affiliates-prog-prod	affiliates-prog-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
hive-production	hive-production.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
hive-production	hive-production.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
analytics-prod	analytics-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
analytics-prod	analytics-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
goods-oc-prod	goods-oc-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
goods-oc-prod	goods-oc-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
megatron-pro	megatron-pro.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
megatron-pro	megatron-pro.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
orders-msg-prod	orders-msg-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
orders-msg-prod	orders-msg-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
fraud-prod	fraud-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
fraud-prod	fraud-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
shop-cart-serv-prod	shop-cart-serv-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
shop-cart-serv-prod	shop-cart-serv-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
rocketmanv2-tr-audit-prod	rocketmanv2-tr-audit-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
rocketmanv2-tr-audit-prod	rocketmanv2-tr-audit-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
gso-merch-success-prod	gso-merch-success-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
gso-merch-success-prod	gso-merch-success-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
booking-3rdparty-prod	booking-3rdparty-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
booking-3rdparty-prod	booking-3rdparty-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
rocketmanv2-dub-prod	rocketmanv2-dub-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
rocketmanv2-dub-prod	rocketmanv2-dub-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
ol-book3rdparty-prod	ol-book3rdparty-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
ol-book3rdparty-prod	ol-book3rdparty-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
tronicon-cms-prod-replica	tronicon-cms-prod-replica.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
tronicon-cms-prod-replica	tronicon-cms-prod-replica.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
dfs-prod	dfs-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
dfs-prod	dfs-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
expyservice-prod	expyservice-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
expyservice-prod	expyservice-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
getaways-content-prod-replica	getaways-content-prod-replica.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
getaways-content-prod-replica	getaways-content-prod-replica.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
booking-tool-prod	booking-tool-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
booking-tool-prod	booking-tool-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
my-noncore-emea-202-prod	my-noncore-emea-202-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
my-noncore-emea-202-prod	my-noncore-emea-202-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
dealservice-prod-replica-new	dealservice-prod-replica-new.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
dealservice-prod-replica-new	dealservice-prod-replica-new.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
my-noncore-gl-441-prod-emea	my-noncore-gl-441-prod-emea.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
my-noncore-gl-441-prod-emea	my-noncore-gl-441-prod-emea.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
orders-prod	orders-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
orders-prod	orders-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
goods-prod	goods-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
goods-prod	goods-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
gtwy-travel-inv-prod	gtwy-travel-inv-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
gtwy-travel-inv-prod	gtwy-travel-inv-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
goods-shipment-prod	goods-shipment-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
goods-shipment-prod	goods-shipment-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
users-prod	users-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
users-prod	users-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
goods-logistics-prod-emea	goods-logistics-prod-emea.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
goods-logistics-prod-emea	goods-logistics-prod-emea.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
mobile-push-token-service-prod	mobile-push-token-service-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
mobile-push-token-service-prod	mobile-push-token-service-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
subscription-service-prod	subscription-service-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
subscription-service-prod	subscription-service-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
janus-prod-emea	janus-prod-emea.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
janus-prod-emea	janus-prod-emea.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
custsvc-cscs-prod	custsvc-cscs-prod.cluster-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	WRITER
custsvc-cscs-prod	custsvc-cscs-prod.cluster-ro-cqgqresxrenm.eu-west-1.rds.amazonaws.com	available	READER
